Blog	four	looking	here	music	until	want	travel	series	re	service	needed	project	tech	came	saying	best	asked	much	life	kids	things	had	easy	possible	right	old	people	o	support	happy	inside	later	time	team	along	love	working	awesome	such	data	so	years	course	didn	internet	million	quite	city	future	san	say	take	drive	ways	going	where	many	wants	photos	former	technology	being	around	world	power	favorite	mean	image	her	am	having	th	small	past	full	hours	experience	social	via	company	learn	information	its	always	found	really	also	play	set	see	available	let	community	recent	person	d	continue	anything	into	line	up	us	ago	code	results	try	video	great	makes	tools	next	high	move	doing	could	put	system	haven	fact	should	means	stuff	email	ve	site	off	less	web	government	five	become	does	worth	told	word	work	interview	then	them	they	network	another	do	away	com	launched	photo	night	post	months	way	together	change	live	car	write	product	still	now	year	space	shows	care	than	browser	online	america	only	between	article	comes	these	media	food	real	read	early	using	business	your	start	lot	trying	building	month	very	learned	finally	actually	event	since	reason	american	pretty	x	close	won	probably	both	help	else	look	while	game	some	doesn	e	during	go	facebook	click	started	links	hit	him	front	keep	need	able	based	she	computer	key	problem	well	page	twitter	home	he	amp	companies	likely	even	new	ever	never	tell	rights	give	before	personal	better	went	used	open	content	isn	seen	don	m	bad	decided	said	against	appeared	three	website	if	make	left	just	human	yes	yet	popular	down	did	run	box	making	may	man	maybe	talk	nbsp	interesting	after	language	thing	think	first	little	were	paid	especially	show	get	enough	reading	across	according	those	different	pay	same	money	again	important	u	starting	issues	public	search	two	share	needs	plans	through	someone	everyone	house	hard	idea	done	least	part	b	build	most	find	please	simple	create	understand	fun	itself	spend	source	big	bit	google	often	back	either	single	entire	others	ll	day	announced	text	national	taking	almost	ios	thought	add	happens	buy	under	every	would	phone	must	me	my	times	end	over	writing	each	got	free	wanted	days	already	their	top	too	took	though	watch	amazon	report	news	several	everything	why	check	no	when	says	water	today	happened	name	turn	place	view	given	any	ideas	sure	state	outside	come	case	good	party	week	without	seems	blog	there	far	list	version	known	short	might	number	feel	story	kind	nothing	his	wrote	art	recently	question	long	called	nice	users	once	app	use	few	women	something	united	instead	our	out	york	update	which	who	april	last	gets	point	book	know	because	getting	own	made	other
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	1	2	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	2	2	0	0	0	0	0	0	0	1	2	0	1	1	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	2	1	0	6	0	2	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	2	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	5	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	2	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	2	0	2	0	1	2	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0
PaulStamatiou.com - Technology, Design and Photography	3	6	22	7	13	23	8	2	36	17	16	31	9	6	7	14	8	70	8	0	22	70	6	7	13	17	34	4	11	3	6	14	58	22	16	7	40	1	13	38	57	11	14	18	2	0	9	3	7	7	6	18	1	2	16	29	14	1	14	0	0	11	29	11	1	5	1	2	1	6	19	0	7	4	6	6	16	1	4	3	7	0	4	9	12	9	45	5	10	21	6	12	2	6	2	20	3	5	42	5	63	9	8	13	1	9	57	17	3	11	16	5	4	2	31	14	7	3	1	18	5	4	7	20	45	15	10	18	0	0	2	15	2	2	2	42	0	32	33	66	23	16	41	6	20	6	12	2	32	11	28	3	10	7	4	8	13	29	42	17	3	44	2	24	2	4	0	96	9	8	5	22	7	0	17	5	10	23	0	132	14	3	8	13	20	19	5	2	17	3	25	8	0	4	22	3	6	6	8	11	2	47	43	4	53	7	1	11	12	2	8	15	1	6	1	3	10	25	15	2	0	6	1	6	22	32	49	7	10	26	0	5	20	74	4	9	8	0	6	18	4	60	5	24	7	7	2	3	26	27	2	4	9	0	2	8	68	78	29	1	67	0	4	7	6	19	19	8	4	5	10	0	3	3	6	4	33	1	15	17	42	4	36	2	4	12	69	12	8	3	0	8	7	4	19	2	4	0	0	4	13	3	1	21	10	3	2	20	4	5	4	10	8	13	3	30	3	14	18	15	4	10	14	3	2	5	3	2	8	18	59	12	18	5	6	5	5	27	18	3	0	0	8	4	29	16	5	5	2	3	16	83	33	5	50	197	15	15	33	12	12	18	4	18	14	10	32	6	22	3	20	2	15	0	12	8	11	16	5	38	87	3	0	2	2	8	2	7	7	0	34	5	13	5	2	10	7	20	1	21	13	4	13	46	4	4	9	1	4	15	20	16	4	2	4	8	6	3	6	1	10	7	4	19	1	45	56	43	0	29	4	6	43	45	2	11	20	2	2	27	3	14	1	14	7	18	20	15	34
Search Engine Roundtable	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	12	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	4	3	0	0	0	0	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	2	0	1	0	3	1	0	0	0	0	0	2	0	3
Copyblogger	0	0	3	0	0	6	3	0	4	0	0	0	0	0	0	4	0	0	0	0	5	0	0	0	1	0	2	0	0	0	0	0	2	0	0	5	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	4	1	0	0	0	2	0	0	0	1	0	0	1	2	0	0	5	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	2	0	0	0	0	10	0	0	0	0	0	0	4	3	0	1	0	0	0	0	1	0	4	0	0	0	0	2	1	0	0	0	11	0	0	2	13	4	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	9	0	0	1	1	0	0	0	0	10	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1	12	2	0	0	1	0	2	0	2	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	2	1	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	3	0	1	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
Joi Ito's Web	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	2	0	0	0	0	3	0	0	0	1	0	1	0	1	1	0	0	3	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	1	1	3	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	1	0	0	0	1	2	1	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	2	0	1	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	1	2	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	6	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	3	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1
Engadget RSS Feed	0	0	0	0	0	0	2	1	0	0	0	0	3	0	0	2	0	1	2	2	3	1	0	0	0	0	1	3	0	0	1	1	3	3	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	3	0	0	1	1	2	0	0	1	1	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	2	0	7	0	0	10	0	0	0	1	2	2	1	0	0	0	0	0	1	0	0	5	0	4	2	0	2	0	2	4	0	1	1	1	1	1	0	2	0	2	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	1	2	0	0	1	0	2	1	0	3	2	0	1	0	1	1	0	0	0	0	0	2	1	0	1	0	1	2	2	0	0	1	0	2	2	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	3	0	1	1	1	4	0	0	0	0	0	0	1	0	0	1	0	0	1	0	2	0	1	2	0	6	1	0	1	7	0	0	0	0	1	0	0	1	1	0	2	0	1	1	0	5	0	1	0	1	0	0	0	1	1	0	2	2	0	0	0	2	0	0	0	1	2	0	1	0	0	1	0	2	0	0	3	0	0	0	0	2	2	0	0	0	1	3	0	0	0	0	0	1	0	1	0	1	3	4	1	0	1	1	0	0	0	0	0	1	0	2	2	0	3	1	0	0	1	0	1	1	1	2	0	0	9	1	0	1	0	0	0	1	2	5	1	0	1	0	3	0	1	0	0	0	0	1	1	0	0	1	0	1	2	0	1	0	1	0	4	3	1	0	0	0	0	0	2	0	4	0	0	1	0	3	3	1	0	2	0	0	2	0	0	2	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	1	0	0	0	0	1	3	1	0	1	2	1	0	1	1	0	0	1	0	1	0	0	2
TMZ.com	0	0	1	0	2	0	0	0	2	0	0	0	0	0	2	0	2	1	0	0	0	3	0	0	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	0	2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	2	0	0	1	0	0	0	0	0	5	1	0	2	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	4	0	0	0	2	0	0	1	0	7	1	0	0	0	0	16	0	0	0	3	0	0	0	3	2	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	3	0	2	0	3	1	1	0	0	1	0	1	2	0	0	0	4	3	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	1	0	2	0	0	0	0	0	1	2	1	0	0	0	0	1	0	0	0	1	0	0	0	7	0	0	0	0	1	0	3	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	3	3	0	3	0	0	1	1	0	0	2	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	3	3	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	2	1	2	1	0	0	2	0	1	0	0	1	2	0	1	0	0	0	1	0	0	0	0	1	2	2	3	0	0	0	0	0	2	0	1	1	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	3	1	1	1	0	0	0	1	1	0	0	0	3
A Consuming Experience (full feed)	0	0	14	0	1	12	0	0	10	1	2	1	1	2	3	4	1	1	0	0	3	14	2	4	12	5	8	0	1	0	3	3	13	0	0	1	6	0	0	3	26	1	0	4	3	0	0	0	1	0	2	3	6	2	2	13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	4	2	0	0	2	0	0	0	8	5	10	3	10	0	5	21	2	1	0	3	0	7	3	4	1	3	20	0	0	0	0	13	1	0	0	5	7	0	3	1	7	0	5	2	0	11	1	1	0	19	3	1	0	1	0	0	0	1	3	0	21	12	0	38	7	6	2	2	16	0	2	0	0	0	11	0	14	0	6	28	0	0	0	3	12	0	4	1	1	6	16	2	0	17	1	0	0	0	0	0	1	2	0	18	0	63	10	3	6	0	0	2	0	1	0	0	3	2	0	1	3	7	2	2	10	1	3	4	2	0	14	7	4	0	15	0	21	2	0	2	0	0	9	7	0	2	0	10	6	10	5	2	0	0	0	2	0	1	11	22	0	0	0	0	0	13	1	2	0	5	45	0	3	0	17	1	0	0	0	2	0	0	1	56	19	10	34	0	5	3	0	9	3	4	4	0	13	0	0	0	29	0	12	0	2	1	9	0	7	0	1	3	17	1	0	3	0	5	3	0	15	0	13	0	0	3	5	0	4	4	0	0	0	1	0	0	0	4	0	1	4	0	1	0	7	9	5	0	2	0	0	1	0	2	1	13	4	0	8	1	2	0	1	11	1	0	2	0	2	1	0	0	17	0	0	1	5	5	0	1	10	22	1	1	9	0	2	4	5	1	1	7	3	9	3	1	4	0	2	1	1	0	3	2	5	11	17	1	0	0	1	13	0	1	9	0	2	0	13	0	0	0	6	2	0	0	5	5	15	23	0	3	13	1	0	1	4	1	0	1	2	0	0	0	2	0	3	4	0	0	4	0	22	1	0	6	0	2	0	5	0	0	14	2	2	0	1	3	0	3	13	1	3	4	15
ProBlogger	1	1	5	0	0	3	0	1	10	0	1	0	0	1	0	20	2	3	0	0	2	4	0	0	5	6	3	0	0	0	0	0	21	1	0	3	1	1	1	0	3	5	1	0	0	0	1	0	0	0	0	1	0	2	1	1	1	0	0	0	0	7	0	5	1	0	0	0	1	4	4	1	1	0	3	1	3	8	0	1	0	1	2	2	1	7	2	0	2	1	3	0	0	0	0	2	0	1	2	1	4	3	1	0	1	1	0	6	0	15	1	1	0	3	3	0	8	0	1	3	0	3	2	3	1	0	0	2	0	1	1	0	3	0	0	11	0	2	4	6	1	2	6	1	0	1	0	0	31	3	8	0	0	0	0	4	0	1	1	2	0	0	0	6	0	2	0	1	0	7	2	9	2	0	0	3	0	2	1	67	4	4	2	2	0	2	0	0	2	3	2	0	0	0	0	0	0	1	1	4	1	0	1	0	7	1	0	0	1	10	0	6	3	0	0	0	5	2	0	0	0	0	1	2	0	2	0	0	2	0	1	0	5	25	0	0	0	1	0	2	6	1	3	2	0	30	0	0	3	7	0	0	1	0	20	0	0	7	20	0	7	0	0	2	1	1	0	0	0	0	1	0	0	0	18	3	1	0	2	6	25	3	1	10	0	0	16	0	10	1	1	2	3	0	2	0	2	2	0	1	1	0	1	1	1	0	0	2	0	1	0	2	1	1	0	1	0	12	6	1	0	2	12	1	0	1	3	0	0	1	1	2	1	0	1	1	0	2	1	0	0	0	0	1	0	0	1	0	1	0	13	2	0	0	6	10	2	0	3	2	0	2	1	1	2	2	7	0	0	0	0	0	0	0	0	3	1	4	0	3	14	0	0	2	0	1	0	0	0	0	0	4	0	0	0	1	2	5	0	0	0	0	63	2	1	0	0	1	0	1	1	1	0	0	1	1	0	0	3	3	0	0	0	1	0	0	1	0	1	2	0	1	5	4	0	8	0	4	0	1	0	1	0	2	2	2	2	0	0
Steve Pavlina	0	1	1	0	0	1	0	13	2	0	1	4	0	0	0	0	0	0	2	0	0	1	0	0	0	1	28	0	0	1	0	0	1	0	0	0	2	0	0	0	4	2	0	2	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	2	0	0	0	0	1	3	2	0	0	1	0	0	0	1	1	1	0	0	0	0	0	8	1	7	0	0	2	0	0	0	0	0	0	0	1	0	1	0	4	0	0	1	0	27	0	0	0	20	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	4	0	0	0	3	0	2	0	0	0	1	0	0	2	7	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	1	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	1	6	0	1	1	0	0	0	0	8	0	1	1	0	1	1	24	0	0	2	0	1	0	0	1	5	0	0	0	0	20	0	3	5	3	0	2	0	0	0	1	0	0	0	0	0	4	0	0	2	0	0	0	0	0	3	24	0	2	1	0	0	0	0	0	1	0	0	0	0	0	1	2	0	2	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	39	0	1	0	1	0	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	6	0	1	0	1	0	0	9	2	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	2	0	1	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	1	0	0	1	0	0	1	3	0	0	3	2	2	1	0	1	4	2	1	1	3	0	1
